K,setup,scheme,sum_se,mean_se,tau_p_actual,ee_bps_per_hz_per_watt
30,0,Random,177.70211549545652,5.923403849848551,15,0.9983264915475087
30,0,Gao matching,177.74867010795828,5.924955670265276,15,0.9985880343143725
30,0,Mussbah,188.96195083159526,6.298731694386508,6,2.1955725420507206
30,0,Hybrid#3 (TopAP N=8 adaptive),189.01822043911912,6.3006073479706375,6,1.5506006598779258
30,0,MJH weighted-count strict,191.9743387510897,6.399144625036324,2,2.2305738540764506
30,0,MJH beam-resource matching,190.6866361980126,6.35622120660042,4,2.2156118770465647
30,1,Random,185.30628409476105,6.1768761364920355,15,1.0410465398582083
30,1,Gao matching,188.67971829538322,6.289323943179441,15,1.0599984173897936
30,1,Mussbah,203.5559011497729,6.78519670499243,5,2.0216099031658845
30,1,Hybrid#3 (TopAP N=8 adaptive),200.68900277098848,6.689633425699616,6,1.5518190819330253
30,1,MJH weighted-count strict,204.0439027010464,6.801463423368213,3,2.026456477316977
30,1,MJH beam-resource matching,205.30453666621253,6.843484555540417,4,2.038976429299956
30,2,Random,203.67341111536436,6.789113703845478,15,1.1442326467155304
30,2,Gao matching,201.20006594441546,6.706668864813849,15,1.1303374491259297
30,2,Mussbah,216.5449846571929,7.218166155239763,5,2.3610639988790596
30,2,Hybrid#3 (TopAP N=8 adaptive),217.88285729191838,7.262761909730613,6,1.6740903364726731
30,2,MJH weighted-count strict,219.74085934869692,7.3246953116232305,3,2.395909713227901
30,2,MJH beam-resource matching,218.3252031537681,7.27750677179227,4,2.3804743297581434
30,3,Random,219.11265143591962,7.303755047863987,14,1.230969951887189
30,3,Gao matching,216.85389352582234,7.228463117527411,15,1.2182803007068672
30,3,Mussbah,232.43844569049264,7.747948189683088,5,2.284295078281094
30,3,Hybrid#3 (TopAP N=8 adaptive),232.499612462685,7.7499870820895005,5,1.7315182458587604
30,3,MJH weighted-count strict,237.04883529075875,7.901627843025292,2,2.3296038061103514
30,3,MJH beam-resource matching,233.42951406353214,7.7809838021177375,3,2.294034829379708
30,4,Random,173.78953463579265,5.792984487859755,15,0.9763457002010825
30,4,Gao matching,172.344045050304,5.7448015016768,15,0.9682249721927193
30,4,Mussbah,183.2813208001719,6.1093773600057295,6,2.030817959004675
30,4,Hybrid#3 (TopAP N=8 adaptive),183.1514315505126,6.10504771835042,6,1.4628708590296535
30,4,MJH weighted-count strict,190.77618610265995,6.359206203421999,2,2.11386355792421
30,4,MJH beam-resource matching,186.68551300280745,6.222850433426915,4,2.0685375401973127
30,5,Random,186.4425556649564,6.214751855498546,15,1.047430088005373
30,5,Gao matching,183.6302542742047,6.121008475806823,15,1.0316306419899142
30,5,Mussbah,192.65962067349383,6.421987355783128,7,2.1753471537683495
30,5,Hybrid#3 (TopAP N=8 adaptive),192.64758670901773,6.421586223633924,7,1.5387187436822505
30,5,MJH weighted-count strict,201.78141225918324,6.726047075306108,3,2.2783425987600436
30,5,MJH beam-resource matching,197.81131590285958,6.593710530095319,4,2.2335156766539788
30,6,Random,205.44855723828164,6.848285241276055,15,1.1542053777431553
30,6,Gao matching,205.54964512643096,6.851654837547699,15,1.1547732872271403
30,6,Mussbah,218.4286639551612,7.28095546517204,5,2.2338787477517
30,6,Hybrid#3 (TopAP N=8 adaptive),217.72428248070446,7.2574760826901485,6,1.6519293056199127
30,6,MJH weighted-count strict,223.85264234653584,7.461754744884528,3,2.289349993316996
30,6,MJH beam-resource matching,223.86774484847317,7.462258161615773,3,2.2895044472128574
30,7,Random,195.60969103779297,6.520323034593099,14,1.098930848526927
30,7,Gao matching,197.3501613010198,6.578338710033993,15,1.108708771354044
30,7,Mussbah,211.04692935376298,7.034897645125432,5,2.309552739699748
30,7,Hybrid#3 (TopAP N=8 adaptive),204.95507836624404,6.831835945541468,6,1.6157278546806784
30,7,MJH weighted-count strict,212.21839260742192,7.073946420247397,3,2.3223724294968475
30,7,MJH beam-resource matching,212.8982103050833,7.096607010169444,3,2.3298118877772303
30,8,Random,215.23950621891606,7.174650207297202,15,1.2092107090950341
30,8,Gao matching,217.0632407491538,7.235441358305127,15,1.2194564087031114
30,8,Mussbah,235.06259162777093,7.835419720925698,4,2.4334861186166052
30,8,Hybrid#3 (TopAP N=8 adaptive),233.3402287996971,7.77800762665657,5,1.7593985206386211
30,8,MJH weighted-count strict,238.45876129726432,7.948625376575477,2,2.468644974349235
30,8,MJH beam-resource matching,235.22079876282888,7.840693292094296,3,2.4351239584122255
30,9,Random,230.37889874666175,7.679296624888725,15,1.2942634761048415
30,9,Gao matching,229.25980663962557,7.641993554654186,15,1.2879764417956494
30,9,Mussbah,249.5155802960031,8.31718600986677,4,2.60822223693099
30,9,Hybrid#3 (TopAP N=8 adaptive),245.73216328003414,8.191072109334472,6,1.8413800170853065
30,9,MJH weighted-count strict,251.41314149581666,8.380438049860555,3,2.6280577169896695
30,9,MJH beam-resource matching,251.11858921228034,8.370619640409345,3,2.6249787196182552
30,10,Random,183.3575340055665,6.11191780018555,15,1.0300985056492502
30,10,Gao matching,184.28972744936087,6.142990914978696,15,1.0353355474683197
30,10,Mussbah,197.629074212962,6.587635807098733,6,2.0555314807110308
30,10,Hybrid#3 (TopAP N=8 adaptive),197.5729867767703,6.5857662258923435,6,1.5780589998144594
30,10,MJH weighted-count strict,202.79474454021567,6.759824818007189,2,2.109259395082591
30,10,MJH beam-resource matching,199.38813854730412,6.646271284910138,4,2.0738274330158006
30,11,Random,181.18409505564952,6.039469835188317,15,1.0178881744699413
30,11,Gao matching,181.01582019035752,6.033860673011917,15,1.0169428100581885
30,11,Mussbah,198.2502747812617,6.608342492708724,4,2.313575385473938
30,11,Hybrid#3 (TopAP N=8 adaptive),194.99262935877113,6.4997543119590375,7,1.6911763170752052
30,11,MJH weighted-count strict,198.77150184710183,6.6257167282367275,2,2.3196580913420686
30,11,MJH beam-resource matching,199.65777957536767,6.655259319178922,3,2.3300009286424053
30,12,Random,186.25272723886624,6.208424241295542,15,1.046363636173406
30,12,Gao matching,187.06220296957608,6.235406765652536,15,1.050911252638068
30,12,Mussbah,200.99464733855507,6.699821577951836,5,2.0640238995538622
30,12,Hybrid#3 (TopAP N=8 adaptive),200.93656734398823,6.697885578132941,5,1.5057067616634563
30,12,MJH weighted-count strict,204.01906961827544,6.800635653942515,3,2.095081840401268
30,12,MJH beam-resource matching,205.18928921546294,6.839642973848765,3,2.1070988828862496
30,13,Random,191.27408201761645,6.3758027339205485,15,1.0745734944809915
30,13,Gao matching,191.3254611056508,6.37751537018836,15,1.0748621410429822
30,13,Mussbah,204.4362001959841,6.814540006532804,5,2.0646992899660064
30,13,Hybrid#3 (TopAP N=8 adaptive),204.63295764688345,6.821098588229448,5,1.5623818106270926
30,13,MJH weighted-count strict,208.96465455927026,6.965488485309009,2,2.1104343236809604
30,13,MJH beam-resource matching,205.11280865447716,6.837093621815906,3,2.0715326834770207
30,14,Random,176.4415187227054,5.881383957423513,15,0.9912444872062103
30,14,Gao matching,177.34087413240076,5.911362471080025,15,0.9962970456876449
30,14,Mussbah,189.19977009373932,6.306659003124644,5,1.7182016082617204
30,14,Hybrid#3 (TopAP N=8 adaptive),189.10692807873158,6.303564269291053,5,1.326833384169315
30,14,MJH weighted-count strict,193.8700018061828,6.462333393539427,2,1.760613920048884
30,14,MJH beam-resource matching,191.57679182681903,6.3858930608939675,4,1.7397883288091456
30,15,Random,177.29047543079622,5.909682514359874,14,0.9960139069145857
30,15,Gao matching,176.65660033191168,5.888553344397056,15,0.9924528108534365
30,15,Mussbah,188.99564469013455,6.299854823004485,7,2.0414305972146747
30,15,Hybrid#3 (TopAP N=8 adaptive),189.0565139089951,6.301883796966504,7,1.5200523731376492
30,15,MJH weighted-count strict,193.15510631222074,6.4385035437406914,3,2.08635889298143
30,15,MJH beam-resource matching,191.5988644073995,6.386628813579984,5,2.0695491942903383
30,16,Random,218.3724849365309,7.279082831217696,15,1.2268117131265783
30,16,Gao matching,217.80221773709914,7.260073924569971,15,1.2236079648151639
30,16,Mussbah,230.81106036123964,7.693702012041322,6,2.3907096210185887
30,16,Hybrid#3 (TopAP N=8 adaptive),230.6353217427952,7.687844058093174,6,1.7071452386587362
30,16,MJH weighted-count strict,239.0388349153004,7.967961163843347,2,2.475931792586881
30,16,MJH beam-resource matching,235.44772607869206,7.848257535956402,4,2.4387355748997055
30,17,Random,178.53486009564926,5.951162003188309,15,1.0030048319980298
