K,scheme,p5_se,mean_se,median_se,mean_tau_p,mean_ee,mean_sum_se,random_mean_se,random_p5_se,random_mean_ee,mean_vs_random_pct,p5_vs_random_pct,ee_vs_random_pct
30,Random,1.6445613801843852,6.5497687598353105,6.48708118722981,14.82,1.1038936112081985,196.4930627950593,6.5497687598353105,1.6445613801843852,1.1038936112081985,0.0,0.0,0.0
30,Gao matching,1.55187765855455,6.549626428298232,6.4913036437446685,15.0,1.1038696227468932,196.48879284894699,6.5497687598353105,1.6445613801843852,1.1038936112081985,-0.002173077284054813,-5.635771503976565,-0.0021730772840602365
30,Mussbah,1.6614606326777572,7.013166605615707,6.949261529787805,5.32,2.2060525005651925,210.3949981684712,6.5497687598353105,1.6445613801843852,1.1038936112081985,7.075026047057701,1.0275841751481039,99.84285425392525
30,Hybrid#3 (TopAP N=8 adaptive),1.6783093340731676,6.9834286722756636,6.8998845874679695,5.9,1.6197329325839354,209.5028601682699,6.5497687598353105,1.6445613801843852,1.1038936112081985,6.620995768578204,2.052094515620853,46.72907933683544
30,MJH weighted-count strict,1.70133023713874,7.137811399778771,7.018554055889131,2.44,2.2452685704995416,214.13434199336314,6.5497687598353105,1.6445613801843852,1.1038936112081985,8.978067188409359,3.451914756017797,103.39537684633592
30,MJH beam-resource matching,1.7470776742410568,7.101561587547682,7.011740374923939,3.58,2.233886545535496,213.04684762643046,6.5497687598353105,1.6445613801843852,1.1038936112081985,8.424615401632071,6.233655690320149,102.36429696250651
40,Random,1.3254997088356222,5.910984731140414,5.728122767023169,14.94,1.2967425369960688,236.43938924561655,5.910984731140414,1.3254997088356222,1.2967425369960688,0.0,0.0,0.0
40,Gao matching,1.3293354938916597,5.911554745890926,5.70355926427887,15.0,1.2968675859358525,236.46218983563705,5.910984731140414,1.3254997088356222,1.2967425369960688,0.009643312856294365,0.2893840738303193,0.009643312856335405
40,Mussbah,1.4256390904349834,6.305864041241231,6.1057834218895835,5.94,2.218912716647684,252.2345616496492,5.910984731140414,1.3254997088356222,1.2967425369960688,6.680431908756292,7.554839954459748,71.11436182141766
40,Hybrid#3 (TopAP N=8 adaptive),1.440718293151468,6.278757990638069,6.093126634307744,6.76,1.674073816189939,251.15031962552274,5.910984731140414,1.3254997088356222,1.2967425369960688,6.221861098035692,8.692463947582372,29.09839605230857
40,MJH weighted-count strict,1.439457067834976,6.432907164333299,6.191751245010439,2.88,2.263732798374693,257.316286573332,5.910984731140414,1.3254997088356222,1.2967425369960688,8.829703626931716,8.597313016346046,74.57072115631199
40,MJH beam-resource matching,1.437325119146148,6.404757344810118,6.191346733278106,3.84,2.2540139237532815,256.19029379240476,5.910984731140414,1.3254997088356222,1.2967425369960688,8.353474693791673,8.436471887931098,73.82123740420761
50,Random,1.1972215533489712,5.40260430139385,5.199097655332006,15.0,1.447126152159067,270.13021506969244,5.40260430139385,1.1972215533489712,1.447126152159067,0.0,0.0,0.0
50,Gao matching,1.2196072891557168,5.40512046075376,5.22605472696039,15.0,1.447800123416186,270.256023037688,5.40260430139385,1.1972215533489712,1.447126152159067,0.046573082527272276,1.8698072837167294,0.04657308252727885
50,Mussbah,1.2814139275981777,5.725404017879845,5.522474704622139,6.94,2.204449259507629,286.27020089399224,5.40260430139385,1.1972215533489712,1.447126152159067,5.974890968837283,7.032313610934952,52.33290174589545
