K,setup,scheme,sum_se,mean_se,tau_p_actual,ee_bps_per_hz_per_watt
25,0,Random,153.46787933120027,6.138715173248011,10,1.6442987071200033
25,0,Gao matching,153.58735088483002,6.143494035393201,10,1.645578759480322
25,0,Mussbah,163.93150508304524,6.5572602033218095,3,3.64427206557344
25,0,Hybrid#3 (TopAP N=8 adaptive),160.54599604723086,6.421839841889234,6,1.9630649608383643
25,0,MJH weighted-count strict,167.35801046139184,6.694320418455674,2,3.7204448416759948
25,0,MJH beam-resource matching,163.89482779490163,6.555793111796065,3,3.643456712743274
25,1,Random,137.62328902906594,5.504931561162638,10,1.4745352395971354
25,1,Gao matching,137.3027346437363,5.492109385749452,10,1.4711007283257465
25,1,Mussbah,147.92427946750445,5.9169711787001775,4,2.8752006116331166
25,1,Hybrid#3 (TopAP N=8 adaptive),142.8891055774566,5.715564223098264,7,1.747166565039209
25,1,MJH weighted-count strict,150.30294973964456,6.012117989585782,3,2.921434767688838
25,1,MJH beam-resource matching,150.9058378418988,6.036233513675952,3,2.9331530890258604
25,2,Random,146.51759775490495,5.860703910196198,10,1.5698314045168391
25,2,Gao matching,146.60383064239915,5.864153225695966,10,1.5707553283114197
25,2,Mussbah,156.49995007239727,6.259998002895891,4,3.094821200469278
25,2,Hybrid#3 (TopAP N=8 adaptive),152.2042512117533,6.088170048470132,6,1.7717053201484527
25,2,MJH weighted-count strict,159.5507457243713,6.382029828974852,2,3.1551513606876105
25,2,MJH beam-resource matching,159.44920576433532,6.377968230573413,2,3.1531433854718434
25,3,Random,176.2000511939162,7.048002047756649,10,1.8878576913633884
25,3,Gao matching,175.68322856533595,7.027329142613438,10,1.8823203060571714
25,3,Mussbah,187.20877302826705,7.488350921130682,4,3.714582619033706
25,3,Hybrid#3 (TopAP N=8 adaptive),183.0986402708229,7.323945610832916,6,2.216466945677267
25,3,MJH weighted-count strict,189.80226021255126,7.592090408502051,2,3.7660423997992916
25,3,MJH beam-resource matching,187.67592040257483,7.5070368161029934,3,3.7238517226609646
25,4,Random,142.1505554300134,5.686022217200536,10,1.5230416653215726
25,4,Gao matching,142.3711223603161,5.694844894412643,10,1.5254048824319584
25,4,Mussbah,146.27231061833726,5.85089242473349,5,2.7693473342905666
25,4,Hybrid#3 (TopAP N=8 adaptive),146.0591752518212,5.842367010072848,6,1.733468601544708
25,4,MJH weighted-count strict,153.5367622591344,6.141470490365376,2,2.906883889920818
25,4,MJH beam-resource matching,145.84291086187065,5.833716434474826,5,2.7612175859746424
25,5,Random,138.6718003497818,5.546872013991272,10,1.485769289461948
25,5,Gao matching,138.87420069276732,5.554968027710693,10,1.4879378645653645
25,5,Mussbah,148.91495316076515,5.956598126430606,4,2.75292617378787
25,5,Hybrid#3 (TopAP N=8 adaptive),143.3343826168619,5.7333753046744755,7,1.7179510501421722
25,5,MJH weighted-count strict,152.0748230891084,6.082992923564336,2,2.8113413191232763
25,5,MJH beam-resource matching,150.70364515770746,6.028145806308299,3,2.785992947209283
25,6,Random,122.82180470582645,4.912872188233058,10,1.3159479075624265
25,6,Gao matching,124.49451626417253,4.979780650566902,10,1.3338698171161345
25,6,Mussbah,134.84749062751723,5.39389962510069,5,2.6070920402304036
