setup,scheme,sum_se,mean_se,tau_p_actual,n_active_ap,n_active_rf,ee_bps_per_hz_per_watt
0,Random,268.6770867647176,5.373541735294352,15,200,1600,1.439341536239559
0,Gao matching,268.79339824283784,5.375867964856757,15,200,1600,1.4399646334437743
0,GC (Liu),268.8912864816325,5.37782572963265,15,200,1600,1.4404890347230315
0,Structured (Chen),268.89169576421165,5.377833915284233,15,200,1600,1.440491227308277
0,Mussbah,282.91399486121685,5.658279897224337,7,156,619,2.2595761263608183
0,MJH weighted-count default,282.91399486121685,5.658279897224337,7,156,619,2.2595761263608183
0,MJH weighted-count strict,293.1013652268921,5.8620273045378415,3,156,619,2.3409405667447856
0,MJH weighted-power,282.91399486121685,5.658279897224337,7,156,619,2.2595761263608183
0,MJH beam-resource matching,289.19738363464285,5.783947672692857,5,156,619,2.309760265438285
0,TopAP (bisect),268.89086017685673,5.377817203537135,15,191,1528,1.500158223126264
0,Hybrid#3 (TopAP N=8 adaptive),282.0172690034561,5.640345380069122,9,168,1344,1.7596751393726466
0,Hybrid#4 (TopAP+greedy),268.9374147592007,5.378748295184014,15,177,1416,1.6037613562144855
1,Random,226.8414482297877,4.536828964595753,15,200,1600,1.2152220440881485
1,Gao matching,226.90326888590107,4.538065377718022,15,200,1600,1.2155532261744704
1,GC (Liu),226.98938004091565,4.539787600818313,15,200,1600,1.2160145359334769
1,Structured (Chen),226.97525134236423,4.5395050268472845,15,200,1600,1.2159388464769514
1,Mussbah,240.72355135255685,4.8144710270511375,7,165,640,1.8433301105422009
1,MJH weighted-count default,240.72355135255685,4.8144710270511375,7,165,640,1.8433301105422009
1,MJH weighted-count strict,242.54779432989412,4.850955886597882,4,165,640,1.8572991716921257
1,MJH weighted-power,240.72355135255685,4.8144710270511375,7,165,640,1.8433301105422009
1,MJH beam-resource matching,242.90717830492116,4.858143566098423,4,165,640,1.8600511388290821
1,TopAP (bisect),227.9215275351768,4.5584305507035365,14,198,1584,1.2318972752103965
1,Hybrid#3 (TopAP N=8 adaptive),240.80080876545634,4.816016175309127,7,173,1384,1.4647993639101113
1,Hybrid#4 (TopAP+greedy),227.01462328399109,4.540292465679822,15,185,1480,1.3024984362457055
2,Random,254.88067743961832,5.097613548792366,15,200,1600,1.3654322005693842
2,Gao matching,253.33159753979297,5.066631950795859,15,200,1600,1.3571335582488913
2,GC (Liu),253.23898529257997,5.064779705851599,15,200,1600,1.35663742121025
2,Structured (Chen),253.25934339803652,5.065186867960731,15,200,1600,1.3567464824894817
2,Mussbah,268.1940458647319,5.363880917294638,8,169,667,2.0060640468595548
2,MJH weighted-count default,268.1940458647319,5.363880917294638,8,169,667,2.0060640468595548
2,MJH weighted-count strict,275.1052589910462,5.502105179820924,4,169,667,2.0577592145437604
