tau_p_design,scheme,p5_se,mean_se,mean_tau_p_actual,mean_ee
1,GC (Liu),1.223227484069192,5.9186477135194355,1.0,1.5853520661212774
1,Gao matching,1.223227484069192,5.9186477135194355,1.0,1.5853520661212774
1,Hybrid#3 (TopAP N=8 adaptive),1.2469226770350017,5.6777306881815,7.84,1.714950264643918
1,Hybrid#4 (TopAP+greedy),1.223227484069192,5.9186477135194355,1.0,1.7023136521575757
1,MJH beam-resource matching,1.2801919358462117,5.826640186174746,4.35,2.2442499353960113
1,MJH weighted-count default,1.2459648294017227,5.727277424633774,6.87,2.2060053738635554
1,MJH weighted-count strict,1.2677244162788304,5.861505492311909,3.17,2.257646687432569
1,MJH weighted-power,1.2459648294017227,5.727277424633774,6.87,2.2060053738635554
1,Mussbah,1.2459648294017227,5.727277424633774,6.87,2.2060053738635554
1,Random,1.223227484069192,5.9186477135194355,1.0,1.5853520661212774
1,Structured (Chen),1.223227484069192,5.9186477135194355,1.0,1.5853520661212774
1,TopAP (bisect),1.223227484069192,5.9186477135194355,1.0,3.4144878787467183
2,GC (Liu),1.3098255009480042,5.818415440432173,2.0,1.5585041358300467
2,Gao matching,1.3154609075190704,5.8219869863244815,2.0,1.5594607999083436
2,Hybrid#3 (TopAP N=8 adaptive),1.3025484895504542,5.601771143625677,7.89,1.7035155421400936
2,Hybrid#4 (TopAP+greedy),1.3121017745327455,5.823553018874822,2.0,1.6781541978683134
2,MJH beam-resource matching,1.3196534137004476,5.744369106374203,4.38,2.220364002898787
2,MJH weighted-count default,1.315754348800505,5.636774491577787,7.06,2.178865157066352
2,MJH weighted-count strict,1.3331460836536695,5.782948826945734,3.24,2.2353697040268456
2,MJH weighted-power,1.315754348800505,5.636774491577787,7.06,2.178865157066352
2,Mussbah,1.315754348800505,5.636774491577787,7.06,2.178865157066352
2,Random,1.3104430901213124,5.814003734368011,2.0,1.5573224288485747
2,Structured (Chen),1.3198962126310239,5.823642197981296,2.0,1.5599041601735615
2,TopAP (bisect),1.3174407167001694,5.820568022157805,2.0,3.3803559468973488
3,GC (Liu),1.3017576288297856,5.781077435952966,3.0,1.5485028846302589
3,Gao matching,1.3007165242862198,5.784625094637354,3.0,1.5494531503492917
3,Hybrid#3 (TopAP N=8 adaptive),1.2785000180377148,5.598425783527254,7.98,1.6990696971138552
3,Hybrid#4 (TopAP+greedy),1.3049153331400656,5.786655645551324,3.0,1.6652843018256014
3,MJH beam-resource matching,1.3134496422598632,5.739666321562853,4.4,2.217931548003354
3,MJH weighted-count default,1.2697259899876145,5.637545168985855,6.99,2.1784880282165062
3,MJH weighted-count strict,1.2846380819292051,5.773974997786883,3.22,2.231214712080396
3,MJH weighted-power,1.2697259899876145,5.637545168985855,6.99,2.1784880282165062
3,Mussbah,1.2697259899876145,5.637545168985855,6.99,2.1784880282165062
3,Random,1.297631065031926,5.777149129051484,3.0,1.5474506595673623
3,Structured (Chen),1.2942451214973965,5.784669209769077,3.0,1.5494649669024319
3,TopAP (bisect),1.3046126086785568,5.783767659365136,3.0,3.1966020401012396
5,GC (Liu),1.1633247902902262,5.677511561969474,5.0,1.5207620255275378
5,Gao matching,1.1592484492334665,5.6792010203043874,5.0,1.5212145590101043
5,Hybrid#3 (TopAP N=8 adaptive),1.180101037741599,5.5786148643180695,7.87,1.6978554038850517
5,Hybrid#4 (TopAP+greedy),1.1665032465359895,5.680405872849799,5.0,1.6407289565261827
5,MJH beam-resource matching,1.194558485050689,5.7023301698686915,4.46,2.206920231631308
5,MJH weighted-count default,1.1750583606915685,5.610600807511338,6.94,2.1714190133546016
5,MJH weighted-count strict,1.1846647642116317,5.750784431427002,3.11,2.2257344544792774
5,MJH weighted-power,1.1750583606915685,5.610600807511338,6.94,2.1714190133546016
5,Mussbah,1.1750583606915685,5.610600807511338,6.94,2.1714190133546016
5,Random,1.1584544090428397,5.674731206568134,5.0,1.5200172874736078
5,Structured (Chen),1.172814674738729,5.679048872480195,5.0,1.5211738051286239
5,TopAP (bisect),1.1611943606281847,5.679607908380472,5.0,2.186898249573459
